Rank,SPI,OP,,Weight,"Rate(3,2)",Rate(1)
431,0.63,72.31543624,0.723154362,,,
432,0.64,72.48322148,0.724832215,,,
433,0.64,72.65100671,0.726510067,,,
434,0.64,72.81879195,0.728187919,,,
435,0.65,72.98657718,0.729865772,,,
436,0.65,73.15436242,0.731543624,,,
437,0.65,73.32214765,0.733221477,,,
438,0.65,73.48993289,0.734899329,,,
439,0.65,73.65771812,0.736577181,,,
440,0.66,73.82550336,0.738255034,,,
441,0.67,73.99328859,0.739932886,,,
442,0.68,74.16107383,0.741610738,,,
443,0.68,74.32885906,0.743288591,,,
444,0.69,74.4966443,0.744966443,,,
445,0.7,74.66442953,0.746644295,,,
446,0.7,74.83221477,0.748322148,,,
447,0.7,75,0.75,,,
448,0.7,75.16778523,0.751677852,,,
449,0.71,75.33557047,0.753355705,,,
450,0.71,75.5033557,0.755033557,,,
451,0.73,75.67114094,0.756711409,,,
452,0.73,75.83892617,0.758389262,,,
453,0.74,76.00671141,0.760067114,,,
454,0.76,76.17449664,0.761744966,,,
455,0.76,76.34228188,0.763422819,,,
456,0.77,76.51006711,0.765100671,,,
457,0.77,76.67785235,0.766778523,,,
458,0.77,76.84563758,0.768456376,,,
459,0.77,77.01342282,0.770134228,,,
460,0.77,77.18120805,0.771812081,,,
461,0.78,77.34899329,0.773489933,,,
462,0.78,77.51677852,0.775167785,,,
463,0.79,77.68456376,0.776845638,,,
464,0.79,77.85234899,0.77852349,,,
465,0.79,78.02013423,0.780201342,,,
466,0.79,78.18791946,0.781879195,,,
467,0.79,78.3557047,0.783557047,,,
468,0.8,78.52348993,0.785234899,,,
469,0.8,78.69127517,0.786912752,,,
470,0.81,78.8590604,0.788590604,,,
471,0.81,79.02684564,0.790268456,,,
472,0.82,79.19463087,0.791946309,,,
473,0.82,79.36241611,0.793624161,,,
474,0.82,79.53020134,0.795302013,,,
475,0.83,79.69798658,0.796979866,,,
476,0.83,79.86577181,0.798657718,,,
477,0.83,80.03355705,0.80033557,,,
478,0.85,80.20134228,0.802013423,,,
479,0.86,80.36912752,0.803691275,,,
480,0.87,80.53691275,0.805369128,,,
481,0.87,80.70469799,0.80704698,,,
482,0.87,80.87248322,0.808724832,,,
483,0.88,81.04026846,0.810402685,,,
484,0.89,81.20805369,0.812080537,,,
485,0.89,81.37583893,0.813758389,,,
486,0.9,81.54362416,0.815436242,,,
487,0.91,81.7114094,0.817114094,,,
488,0.91,81.87919463,0.818791946,,,
489,0.91,82.04697987,0.820469799,,,
490,0.91,82.2147651,0.822147651,,,
491,0.92,82.38255034,0.823825503,,,
492,0.92,82.55033557,0.825503356,,,
493,0.92,82.71812081,0.827181208,,,
494,0.92,82.88590604,0.82885906,,,
495,0.93,83.05369128,0.830536913,,,
496,0.94,83.22147651,0.832214765,,,
497,0.94,83.38926174,0.833892617,,,
498,0.94,83.55704698,0.83557047,,,
499,0.95,83.72483221,0.837248322,,,
500,0.95,83.89261745,0.838926174,,,
501,0.96,84.06040268,0.840604027,,,
502,0.96,84.22818792,0.842281879,,,
503,0.98,84.39597315,0.843959732,,,
504,1.02,84.56375839,0.845637584,,,
505,1.02,84.73154362,0.847315436,,,
506,1.04,84.89932886,0.848993289,,,
507,1.04,85.06711409,0.850671141,,,
508,1.06,85.23489933,0.852348993,,,
509,1.06,85.40268456,0.854026846,,,
510,1.06,85.5704698,0.855704698,,,
511,1.07,85.73825503,0.85738255,,,
512,1.07,85.90604027,0.859060403,,,
513,1.07,86.0738255,0.860738255,,,
514,1.09,86.24161074,0.862416107,,,
515,1.09,86.40939597,0.86409396,,,
516,1.1,86.57718121,0.865771812,,,
517,1.1,86.74496644,0.867449664,,,
518,1.11,86.91275168,0.869127517,,,
519,1.11,87.08053691,0.870805369,,,
520,1.11,87.24832215,0.872483221,,,
521,1.11,87.41610738,0.874161074,,,
522,1.12,87.58389262,0.875838926,,,
523,1.12,87.75167785,0.877516779,,,
524,1.13,87.91946309,0.879194631,,,
525,1.14,88.08724832,0.880872483,,,
526,1.14,88.25503356,0.882550336,,,
527,1.14,88.42281879,0.884228188,,,
528,1.14,88.59060403,0.88590604,,,
529,1.15,88.75838926,0.887583893,,,
530,1.15,88.9261745,0.889261745,,,
531,1.15,89.09395973,0.890939597,,,
532,1.15,89.26174497,0.89261745,,,
533,1.15,89.4295302,0.894295302,,,
534,1.15,89.59731544,0.895973154,,,
535,1.17,89.76510067,0.897651007,,,
536,1.17,89.93288591,0.899328859,,,
537,1.17,90.10067114,0.901006711,,,
538,1.17,90.26845638,0.902684564,,,
539,1.18,90.43624161,0.904362416,,,
540,1.2,90.60402685,0.906040268,,,
541,1.21,90.77181208,0.907718121,,,
542,1.21,90.93959732,0.909395973,,,
543,1.23,91.10738255,0.911073826,,,
544,1.25,91.27516779,0.912751678,,,
545,1.25,91.44295302,0.91442953,,,
546,1.25,91.61073826,0.916107383,,,
547,1.26,91.77852349,0.917785235,,,
548,1.26,91.94630872,0.919463087,,,
549,1.27,92.11409396,0.92114094,,,
550,1.27,92.28187919,0.922818792,,,
551,1.28,92.44966443,0.924496644,,,
552,1.28,92.61744966,0.926174497,,,
553,1.3,92.7852349,0.927852349,,,
554,1.3,92.95302013,0.929530201,,,
555,1.32,93.12080537,0.931208054,,,
556,1.32,93.2885906,0.932885906,,,
557,1.33,93.45637584,0.934563758,,,
558,1.35,93.62416107,0.936241611,,,
559,1.36,93.79194631,0.937919463,,,
560,1.37,93.95973154,0.939597315,,,
561,1.37,94.12751678,0.941275168,,,
562,1.37,94.29530201,0.94295302,,,
563,1.39,94.46308725,0.944630872,,,
564,1.4,94.63087248,0.946308725,,,
565,1.42,94.79865772,0.947986577,,,
566,1.42,94.96644295,0.94966443,,,
567,1.48,95.13422819,0.951342282,,,
568,1.49,95.30201342,0.953020134,,,
569,1.5,95.46979866,0.954697987,,,
570,1.53,95.63758389,0.956375839,,,
571,1.53,95.80536913,0.958053691,,,
572,1.53,95.97315436,0.959731544,,,
573,1.58,96.1409396,0.961409396,,,
574,1.64,96.30872483,0.963087248,,,
575,1.65,96.47651007,0.964765101,,,
576,1.67,96.6442953,0.966442953,,,
577,1.68,96.81208054,0.968120805,,,
578,1.68,96.97986577,0.969798658,,,
579,1.69,97.14765101,0.97147651,,,
580,1.7,97.31543624,0.973154362,,,
581,1.72,97.48322148,0.974832215,,,
582,1.74,97.65100671,0.976510067,,,
583,1.75,97.81879195,0.978187919,,,
584,1.81,97.98657718,0.979865772,,,
585,1.82,98.15436242,0.981543624,,,
586,1.82,98.32214765,0.983221477,,,
587,1.93,98.48993289,0.984899329,,,
588,1.94,98.65771812,0.986577181,,,
589,2.03,98.82550336,0.988255034,,,
590,2.1,98.99328859,0.989932886,,,
591,2.18,99.16107383,0.991610738,,,
592,2.34,99.32885906,0.993288591,,,
593,2.47,99.4966443,0.994966443,,,
594,2.57,99.66442953,0.996644295,,,
595,2.66,99.83221477,0.998322148,,,
